,id,name,year_published,min_players,max_players,play_time,min_age,users_rated,rating_average,bgg_rank,complexity_average,owned_users,mechanics,domains,mechanics_list
0,174430,Gloomhaven,2017,1,4,120,14,42055,8.79,1,3.86,68323,"Action Queue, Action Retrieval, Campaign / Battle Card Driven, Card Play Conflict Resolution, Communication Limits, Cooperative Game, Deck Construction, Deck Bag and Pool Building, Grid Movement, Hand Management, Hexagon Grid, Legacy Game, Modular Board, Once-Per-Game Abilities, Scenario / Mission / Campaign Game, Simultaneous Action Selection, Solo / Solitaire Game, Storytelling, Variable Player Powers","Strategy Games, Thematic Games","['Action Queue', ' Action Retrieval', ' Campaign / Battle Card Driven', ' Card Play Conflict Resolution', ' Communication Limits', ' Cooperative Game', ' Deck Construction', ' Deck Bag and Pool Building', ' Grid Movement', ' Hand Management', ' Hexagon Grid', ' Legacy Game', ' Modular Board', ' Once-Per-Game Abilities', ' Scenario / Mission / Campaign Game', ' Simultaneous Action Selection', ' Solo / Solitaire Game', ' Storytelling', ' Variable Player Powers']"
1,161936,Pandemic Legacy: Season 1,2015,2,4,60,13,41643,8.61,2,2.84,65294,"Action Points, Cooperative Game, Hand Management, Legacy Game, Point to Point Movement, Set Collection, Trading, Variable Player Powers","Strategy Games, Thematic Games","['Action Points', ' Cooperative Game', ' Hand Management', ' Legacy Game', ' Point to Point Movement', ' Set Collection', ' Trading', ' Variable Player Powers']"
2,224517,Brass: Birmingham,2018,2,4,120,14,19217,8.66,3,3.91,28785,"Hand Management, Income, Loans, Market, Network and Route Building, Score-and-Reset Game, Tech Trees / Tech Tracks, Turn Order: Stat-Based, Variable Set-up",Strategy Games,"['Hand Management', ' Income', ' Loans', ' Market', ' Network and Route Building', ' Score-and-Reset Game', ' Tech Trees / Tech Tracks', ' Turn Order: Stat-Based', ' Variable Set-up']"
3,167791,Terraforming Mars,2016,1,5,120,12,64864,8.43,4,3.24,87099,"Card Drafting, Drafting, End Game Bonuses, Hand Management, Hexagon Grid, Income, Set Collection, Solo / Solitaire Game, Take That, Tile Placement, Turn Order: Progressive, Variable Player Powers",Strategy Games,"['Card Drafting', ' Drafting', ' End Game Bonuses', ' Hand Management', ' Hexagon Grid', ' Income', ' Set Collection', ' Solo / Solitaire Game', ' Take That', ' Tile Placement', ' Turn Order: Progressive', ' Variable Player Powers']"
4,233078,Twilight Imperium: Fourth Edition,2017,3,6,480,14,13468,8.7,5,4.22,16831,"Action Drafting, Area Majority / Influence, Area-Impulse, Dice Rolling, Follow, Grid Movement, Hexagon Grid, Modular Board, Trading, Variable Phase Order, Variable Player Powers, Voting","Strategy Games, Thematic Games","['Action Drafting', ' Area Majority / Influence', ' Area-Impulse', ' Dice Rolling', ' Follow', ' Grid Movement', ' Hexagon Grid', ' Modular Board', ' Trading', ' Variable Phase Order', ' Variable Player Powers', ' Voting']"
5,291457,Gloomhaven: Jaws of the Lion,2020,1,4,120,14,8392,8.87,6,3.55,21609,"Action Queue, Campaign / Battle Card Driven, Communication Limits, Cooperative Game, Critical Hits and Failures, Deck Construction, Grid Movement, Hand Management, Hexagon Grid, Legacy Game, Line of Sight, Once-Per-Game Abilities, Scenario / Mission / Campaign Game, Simultaneous Action Selection, Solo / Solitaire Game, Variable Player Powers","Strategy Games, Thematic Games","['Action Queue', ' Campaign / Battle Card Driven', ' Communication Limits', ' Cooperative Game', ' Critical Hits and Failures', ' Deck Construction', ' Grid Movement', ' Hand Management', ' Hexagon Grid', ' Legacy Game', ' Line of Sight', ' Once-Per-Game Abilities', ' Scenario / Mission / Campaign Game', ' Simultaneous Action Selection', ' Solo / Solitaire Game', ' Variable Player Powers']"
6,182028,Through the Ages: A New Story of Civilization,2015,2,4,120,14,23061,8.43,7,4.41,26985,"Action Points, Auction/Bidding, Auction: Dutch, Card Drafting, Events, Income, Take That",Strategy Games,"['Action Points', ' Auction/Bidding', ' Auction: Dutch', ' Card Drafting', ' Events', ' Income', ' Take That']"
7,220308,Gaia Project,2017,1,4,150,12,16352,8.49,8,4.35,20312,"End Game Bonuses, Hexagon Grid, Income, Modular Board, Network and Route Building, Solo / Solitaire Game, Tech Trees / Tech Tracks, Turn Order: Pass Order, Variable Player Powers, Variable Set-up, Victory Points as a Resource",Strategy Games,"['End Game Bonuses', ' Hexagon Grid', ' Income', ' Modular Board', ' Network and Route Building', ' Solo / Solitaire Game', ' Tech Trees / Tech Tracks', ' Turn Order: Pass Order', ' Variable Player Powers', ' Variable Set-up', ' Victory Points as a Resource']"
8,187645,Star Wars: Rebellion,2016,2,4,240,14,23081,8.42,9,3.71,34849,"Area Majority / Influence, Area Movement, Area-Impulse, Delayed Purchase, Dice Rolling, Hand Management, Team-Based Game, Variable Player Powers",Thematic Games,"['Area Majority / Influence', ' Area Movement', ' Area-Impulse', ' Delayed Purchase', ' Dice Rolling', ' Hand Management', ' Team-Based Game', ' Variable Player Powers']"
9,12333,Twilight Struggle,2005,2,2,180,13,40814,8.29,10,3.59,56219,"Action/Event, Advantage Token, Area Majority / Influence, Campaign / Battle Card Driven, Dice Rolling, Hand Management, Simulation, Simultaneous Action Selection, Sudden Death Ending, Tug of War","Strategy Games, Wargames","['Action/Event', ' Advantage Token', ' Area Majority / Influence', ' Campaign / Battle Card Driven', ' Dice Rolling', ' Hand Management', ' Simulation', ' Simultaneous Action Selection', ' Sudden Death Ending', ' Tug of War']"
